_timestamp,episode/tracking_reward,train/grad_norm,episode/actions_up,train/learning_rate,train/buffer_size,_runtime,train/episode,episode/actions_neutral,train/epsilon,episode/goal_reward,episode/total_reward,episode/actions_down,train/loss,episode/clipped_reward,_step,episode/action_all,run_id,run_name,group
1788033410.5467958,,0.05376464869321224,,0.0003,3596,62.562727781,2,,0.9885873333333334,,,,0.022293921560049057,,3608.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788033912.4609568,,0.025629103747554775,,0.0003,23480,564.471471481,24,,0.925482,,,,0.012601334601640701,,23536.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788034195.4750593,,0.1132225594861757,,0.0003,30000,847.489617169,36,,0.890218,,,,0.010579477064311504,,34672.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788035765.2272782,,0.031749454288154975,,0.0003,30000,2417.233965393,101,,0.693188,,,,0.0015239522326737642,,96892.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788036717.177542,,0.0524099400004363,,0.0003,30000,3369.188593515,133,,0.5740326666666666,,,,0.002850345801562071,,134520.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788038851.2603676,,0.040795849369690225,,0.0003,30000,5503.256225368,187,,0.3062466666666666,,,,0.0028409957885742188,,219084.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788040558.4136891,,0.03451477540119577,,0.0003,30000,7210.407943515,223,,0.09164800000000001,,,,0.0015785283176228404,,286852.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788041232.9303763,,0.053019350884803515,,0.0003,30000,7884.926788717,234,,0.05,,,,0.0024703694507479668,,313852.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788041568.8551834,,0.044788069419728266,,0.0003,30000,8220.861914816,239,,0.05,,,,0.002858982887119055,,327224.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788045313.9147186,,0.04856167505749876,,0.0003,30000,11965.925490639,295,,0.05,,,,0.0017946392763406038,,475748.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788045599.5425205,,0.05143166218889157,,0.0003,30000,12251.545316809,299,,0.05,,,,0.002536248881369829,,487032.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788046497.8730087,,0.026195012917500874,,0.0003,30000,13149.887085666,311,,0.05,,,,0.0013226233422756195,,522848.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788046861.2312899,,0.0420884887709094,,0.0003,30000,13513.238603048,315,,0.05,,,,0.001843502395786345,,537260.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788047107.1020377,,0.03449732060988508,,0.0003,30000,13759.112907859,319,,0.05,,,,0.0024484002497047186,,547112.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788047791.9864388,,0.034052084472022265,,0.0003,30000,14443.997139891,328,,0.05,,,,0.0017292642733082175,,574400.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788048184.057836,,0.02918819180754534,,0.0003,30000,14836.057766617,333,,0.05,,,,0.0015348431188613176,,590056.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788048262.8696744,,0.050031456001262464,,0.0003,30000,14914.868650071,333,,0.05,,,,0.0022679376415908337,,593228.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788050746.4282749,,0.031577307180117545,,0.0003,30000,17398.441801291,368,,0.05,,,,0.0016016846057027578,,692368.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788050808.6201777,,0.040597633681512764,,0.0003,30000,17460.635550554,368,,0.05,,,,0.00197515613399446,,694808.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788050839.92542,,0.03704632348251004,,0.0003,30000,17491.934411898,368,,0.05,,,,0.0014496897347271442,,696040.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788051083.3901396,,0.06895160090426838,,0.0003,30000,17735.383682154,372,,0.05,,,,0.006712466478347778,,705760.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788051106.0821965,,0.03690014629088073,,0.0003,30000,17758.093204156,373,,0.05,,,,0.002635414944961667,,706676.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788052333.5325482,,0.03759183608881985,,0.0003,30000,18985.546029184,388,,0.05,,,,0.0021053128875792027,,755576.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788054189.0809937,,0.03835305776033347,,0.0003,30000,20841.079347804,416,,0.05,,,,0.0019265133887529373,,829876.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788054348.9547427,,0.037285284981219684,,0.0003,30000,21000.946478811,416,,0.05,,,,0.0020866659469902515,,836240.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788055553.6759324,,0.03505798128835637,,0.0003,30000,22205.671083351,432,,0.05,,,,0.0020141922868788242,,884152.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788055899.9387941,,0.04054439393573694,,0.0003,30000,22551.944772196,439,,0.05,,,,0.003361660521477461,,897952.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788056179.2783458,,0.06484661412973616,,0.0003,30000,22831.292730689,443,,0.05,,,,0.0031802577432245016,,909052.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788058760.8752224,,0.030060784526592235,,0.0003,30000,25412.88677095,478,,0.05,,,,0.001697708503343165,,1011772.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788059019.9337795,,0.04463021299106828,,0.0003,30000,25671.991760271,482,,0.05,,,,0.0021755550988018513,,1022076.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788059117.039859,,0.06085084882653413,,0.0003,30000,25769.048654522,484,,0.05,,,,0.004948336631059647,,1025896.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788059479.9958575,,0.03806416060776509,,0.0003,30000,26132.004898209,489,,0.05,,,,0.0015037731500342488,,1040224.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788060076.5944085,,0.03344152781720165,,0.0003,30000,26728.605716886,497,,0.05,,,,0.0018198237521573901,,1063876.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788060319.8039284,,0.02970195902224671,,0.0003,30000,26971.813935035,500,,0.05,,,,0.0014630116056650877,,1073584.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788060554.5349634,,0.046511979984135234,,0.0003,30000,27206.547009414,504,,0.05,,,,0.0023460211232304573,,1082812.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788061288.6542366,,0.019921838034512685,,0.0003,30000,27940.665987492,512,,0.05,,,,0.0008535648230463266,,1112088.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788063256.108389,,0.02779612601925183,,0.0003,30000,29908.119867615,540,,0.05,,,,0.0015931273810565472,,1190368.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788064487.2922862,,0.025706442242178152,,0.0003,30000,31139.303576737,557,,0.05,,,,0.0012040163855999708,,1239460.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788065283.0090158,,0.035515077285222435,,0.0003,30000,31935.01508593,568,,0.05,,,,0.001961612841114402,,1271112.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788068198.6578162,,0.025054587087917714,,0.0003,30000,34850.668280001,610,,0.05,,,,0.0012889406643807888,,1387184.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788070341.3453598,,0.016642422239676564,,0.0003,30000,36993.357618087,638,,0.05,,,,0.0009289897279813886,,1472756.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788070472.9076877,,0.03854552036608586,,0.0003,30000,37124.900618751,641,,0.05,,,,0.002465961268171668,,1478068.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788071533.9757156,,0.04858581688790467,,0.0003,30000,38185.985504264,654,,0.05,,,,0.002706360537558794,,1520372.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788072824.2853637,,0.07102828362161452,,0.0003,30000,39476.294966129,673,,0.05,,,,0.005665292032063007,,1571944.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788073133.127994,,0.021936431574444065,,0.0003,30000,39785.183578498,677,,0.05,,,,0.0013216233346611261,,1584248.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788073252.4732916,,0.026599837968222788,,0.0003,30000,39904.481744557,680,,0.05,,,,0.0018493549432605505,,1589024.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788073607.408197,,0.032883964177223814,,0.0003,30000,40259.415602302,684,,0.05,,,,0.0022719919215887785,,1603184.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788074949.1383286,,0.03983445701026088,,0.0003,30000,41601.149684559,704,,0.05,,,,0.0025587647687643766,,1657076.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788075284.5264993,,0.014719439451474496,,0.0003,30000,41936.536299916,708,,0.05,,,,0.00092424510512501,,1670536.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788075770.808376,,0.03520632668986447,,0.0003,30000,42422.818009996,715,,0.05,,,,0.0016436943551525474,,1690068.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788076615.599208,,0.03604049744616403,,0.0003,30000,43267.608923436,728,,0.05,,,,0.0017903061816468835,,1723920.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788076992.3722148,,0.033615900767180525,,0.0003,30000,43644.390743365,733,,0.05,,,,0.0020904489792883396,,1739064.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788077423.4998133,,0.04247758701160045,,0.0003,30000,44075.511565845,739,,0.05,,,,0.0025835600681602955,,1756232.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788079613.5280077,,0.030605180414007945,,0.0003,30000,46265.537184272,771,,0.05,,,,0.0018230158602818847,,1844188.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788079742.22349,,0.03636108632222075,,0.0003,30000,46394.233421678,772,,0.05,,,,0.0022341914009302855,,1849324.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788080396.9514976,,0.02705513550098945,,0.0003,30000,47048.961545337,781,,0.05,,,,0.0015833055367693305,,1875532.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788081420.2150362,,0.03591632768576357,,0.0003,30000,48072.224733163,796,,0.05,,,,0.0019127109553664923,,1916308.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788081736.884194,,0.025077922265597834,,0.0003,30000,48388.896137644,800,,0.05,,,,0.0016069517005234957,,1928760.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788082864.6085305,,0.03951272433526512,,0.0003,30000,49516.628325839,816,,0.05,,,,0.0025177057832479477,,1973436.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788083629.844804,,0.02987937214309071,,0.0003,30000,50281.863597477,827,,0.05,,,,0.0014679876621812582,,2003952.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788085479.710697,,0.02691047124745636,,0.0003,30000,52131.721267463,854,,0.05,,,,0.0014661098830401897,,2077988.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788085898.263045,,0.04644534821711628,,0.0003,30000,52550.258596193,861,,0.05,,,,0.00316815753467381,,2094696.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788086326.100395,,0.03275984723501243,,0.0003,30000,52978.11706407,866,,0.05,,,,0.002293969038873911,,2111904.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788086504.114599,,0.027993178682056655,,0.0003,30000,53156.124736783,868,,0.05,,,,0.0018628556281328201,,2118928.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788090695.7578542,,0.050095072654978534,,0.0003,30000,57347.766866993,928,,0.05,,,,0.00301986001431942,,2285916.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788090752.460124,,0.03826456538810156,,0.0003,30000,57404.479065471,929,,0.05,,,,0.0021963249891996384,,2288168.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788091910.206385,,0.04072353897751205,,0.0003,30000,58562.217643226,944,,0.05,,,,0.0018373162019997835,,2334276.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788092141.424001,,0.03315696228335753,,0.0003,30000,58793.437261899,948,,0.05,,,,0.001981434179469943,,2343432.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788092964.328193,,0.041081748615970214,,0.0003,30000,59616.336167383,958,,0.05,,,,0.0029695029370486736,,2376116.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788093098.0629957,,0.02542091763719999,,0.0003,30000,59750.078851324,961,,0.05,,,,0.0016496812459081411,,2381508.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788093649.3539228,,0.06495865469734013,,0.0003,30000,60301.361546723,969,,0.05,,,,0.005985156632959843,,2403492.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788093688.894236,,0.03113055112227212,,0.0003,30000,60340.902530014,969,,0.05,,,,0.0023521920666098595,,2405048.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788095410.8798392,,0.03728725778655864,,0.0003,30000,62062.889786037,998,,0.05,,,,0.0028899512253701687,,2473644.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788096173.2546313,,0.03911411076806847,,0.0003,30000,62825.265661766,1010,,0.05,,,,0.0027701091021299362,,2503848.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788098977.7533982,,0.03421721332021196,,0.0003,30000,65629.762070119,1052,,0.05,,,,0.0023093405179679394,,2615460.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788099013.3901165,,0.048673005563615646,,0.0003,30000,65665.399606825,1053,,0.05,,,,0.0028203390538692474,,2616868.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788099891.5231478,,0.049073142043748005,,0.0003,30000,66543.536561476,1068,,0.05,,,,0.0029502427205443382,,2651708.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788099945.7405624,,0.04016863819826921,,0.0003,30000,66597.726113876,1069,,0.05,,,,0.002623206004500389,,2653844.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788100314.2060018,,0.03536002949213454,,0.0003,30000,66966.220613899,1075,,0.05,,,,0.002140873111784458,,2668540.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788100801.543851,,0.03184456562352292,,0.0003,30000,67453.548258908,1084,,0.05,,,,0.002113457303494215,,2687908.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788102506.358929,,0.07182875980915104,,0.0003,30000,69158.368698234,1112,,0.05,,,,0.005132522899657488,,2755704.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788103565.3870258,,0.03728546676612598,,0.0003,30000,70217.39662076,1128,,0.05,,,,0.002658633980900049,,2797956.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788103733.4855404,,0.015135159799024663,,0.0003,30000,70385.495689812,1132,,0.05,,,,0.0010245172306895256,,2804644.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788104605.797506,,0.05249173498576131,,0.0003,30000,71257.80263975,1144,,0.05,,,,0.0032269563525915146,,2839392.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788104628.5174773,,0.04491745585848809,,0.0003,30000,71280.529232476,1144,,0.05,,,,0.0026254025287926197,,2840300.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788104719.2469487,,0.035798609409509116,,0.0003,30000,71371.240943674,1146,,0.05,,,,0.002226701471954584,,2843904.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788105802.1576378,,0.03187277147816708,,0.0003,30000,72454.145001537,1161,,0.05,,,,0.002722484990954399,,2887056.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788106772.101702,,0.05068822754322213,,0.0003,30000,73424.117650765,1178,,0.05,,,,0.0038447976112365723,,2925820.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788107364.192327,,0.04541485813258889,,0.0003,30000,74016.2018822,1185,,0.05,,,,0.0039789206348359585,,2949544.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788107384.3859634,,0.06975352273407893,,0.0003,30000,74036.395305697,1186,,0.05,,,,0.004693407565355301,,2950340.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788108301.074537,,0.0326870217305263,,0.0003,30000,74953.072851717,1201,,0.05,,,,0.0024020764976739883,,2986864.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788108347.7398899,,0.03618035405414832,,0.0003,30000,74999.755323204,1201,,0.05,,,,0.0029839170165359974,,2988740.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788108426.346841,,0.043446693153472576,,0.0003,30000,75078.35460193,1201,,0.05,,,,0.003125424962490797,,2991948.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788108956.3065867,,0.021542157219792763,,0.0003,30000,75608.306052495,1211,,0.05,,,,0.0021791125182062387,,3013164.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788109550.337409,,0.03305676598962195,,0.0003,30000,76202.346899471,1223,,0.05,,,,0.002929109148681164,,3036860.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788109918.779368,,0.04036466584183294,,0.0003,30000,76570.802141492,1230,,0.05,,,,0.0033576427958905697,,3051712.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788111059.1567333,,0.06793088441546834,,0.0003,30000,77711.154246619,1246,,0.05,,,,0.00684683583676815,,3097152.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788111075.9896626,,0.049152364578755395,,0.0003,30000,77727.998288915,1247,,0.05,,,,0.0034165391698479652,,3097816.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788111178.3483076,,0.026847163280867208,,0.0003,30000,77830.356266611,1248,,0.05,,,,0.0017668664222583175,,3101912.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788111806.8832245,,0.03762312131136071,,0.0003,30000,78458.901580871,1259,,0.05,,,,0.0024888776242733,,3127176.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788111842.8170304,,0.03031779752198323,,0.0003,30000,78494.828006964,1259,,0.05,,,,0.002319560619071126,,3128628.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788112294.9232388,,0.04043264219494805,,0.0003,30000,78946.939384062,1265,,0.05,,,,0.003501941915601492,,3146888.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788112600.1562405,,0.058747024428540746,,0.0003,30000,79252.166265821,1269,,0.05,,,,0.004914118908345699,,3159228.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788113675.0747736,,0.07263173830987611,,0.0003,30000,80327.072912589,1287,,0.05,,,,0.010765016078948975,,3202340.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788113862.108264,,0.04959204918460185,,0.0003,30000,80514.119012179,1290,,0.05,,,,0.00352280680090189,,3209876.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788114249.6672974,,0.05050347489705626,,0.0003,30000,80901.67649777,1296,,0.05,,,,0.002939801663160324,,3225504.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788114329.4407487,,0.04238732688665949,,0.0003,30000,80981.455567269,1297,,0.05,,,,0.0037292558699846268,,3228716.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788114386.670735,,0.04512563020634976,,0.0003,30000,81038.679744514,1297,,0.05,,,,0.003108474425971508,,3231040.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788115172.5509288,,0.04123721824994058,,0.0003,30000,81824.557884154,1311,,0.05,,,,0.0030013243667781353,,3262732.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788115198.3544753,,0.044841244070055436,,0.0003,30000,81850.362760109,1311,,0.05,,,,0.003717876970767975,,3263760.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788115285.1490414,,0.0358087682384103,,0.0003,30000,81937.163630793,1313,,0.05,,,,0.0035074520856142044,,3267272.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788116377.655233,,0.06425734070226459,,0.0003,30000,83029.636994905,1328,,0.05,,,,0.004357213620096445,,3311088.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788116425.981055,,0.03579782636048672,,0.0003,30000,83078.024110163,1330,,0.05,,,,0.0033229889813810587,,3313016.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788116532.3659816,,0.03553992472109382,,0.0003,30000,83184.374850949,1332,,0.05,,,,0.002763667143881321,,3317284.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788116913.3348386,,0.06164597829033651,,0.0003,30000,83565.354109974,1338,,0.05,,,,0.0057131946086883545,,3332532.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788117241.162321,,0.051834767381648376,,0.0003,30000,83893.199465012,1343,,0.05,,,,0.0045506637543439865,,3345616.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788118117.496718,,0.07148288462750416,,0.0003,30000,84769.508483811,1356,,0.05,,,,0.0050147962756454945,,3380524.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788118146.548004,,0.06815395067903676,,0.0003,30000,84798.557423544,1357,,0.05,,,,0.0061182547360658646,,3381696.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788121355.1868808,,0.027700946597558535,,0.0003,30000,88007.194381034,1407,,0.05,,,,0.002338995225727558,,3509692.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788121383.8920102,,0.05072308758713445,,0.0003,30000,88035.905543108,1407,,0.05,,,,0.004964039660990238,,3510820.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788121833.8310635,,0.051081828763960904,,0.0003,30000,88485.839960241,1414,,0.05,,,,0.004529210738837719,,3528700.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788122035.5935187,,0.036080274593255794,,0.0003,30000,88687.599188129,1420,,0.05,,,,0.0030130106024444103,,3536720.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788122686.150313,,0.04001463040855313,,0.0003,30000,89338.158348801,1433,,0.05,,,,0.0036310022696852684,,3562604.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788122802.422014,,0.055205888625595695,,0.0003,30000,89454.438435451,1434,,0.05,,,,0.004249429330229759,,3567200.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788123856.979396,,0.028255600019159086,,0.0003,30000,90508.986412186,1450,,0.05,,,,0.0026561131235212088,,3609368.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788123953.6603818,,0.04560809176713647,,0.0003,30000,90605.671537679,1452,,0.05,,,,0.003920546732842922,,3613204.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788124926.9056716,,0.03886096698755857,,0.0003,30000,91578.914906015,1467,,0.05,,,,0.0037122496869415045,,3651976.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788125535.5440574,,0.01803134548087821,,0.0003,30000,92187.552537953,1479,,0.05,,,,0.0014731410192325711,,3676236.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788125768.480243,,0.04120320904037478,,0.0003,30000,92420.493862145,1484,,0.05,,,,0.003923007287085056,,3685532.0,,a9lplveo,exalted-sweep-1,baseline_sparse
1788125943.8602722,,0.030866015968801765,,0.0003,30000,92595.870323299,1487,,0.05,,,,0.0026274011470377445,,3692580.0,,a9lplveo,exalted-sweep-1,baseline_sparse
