_runtime,_timestamp,train/epsilon,_step,train/loss,train/episode,episode/goal_reward,episode/clipped_reward,episode/action_all,train/learning_rate,episode/tracking_reward,train/grad_norm,episode/actions_up,episode/actions_neutral,episode/actions_down,episode/total_reward,train/buffer_size,run_id,run_name,group
66.675240084,1788033416.7309053,0.9885873333333334,3608.0,0.02210502326488495,3,,,,0.0003,,0.03257480317292375,,,,,3594,zah62sdt,sweet-sweep-2,baseline_full
568.626279528,1788033918.6444552,0.925482,23536.0,0.03853939473628998,24,,,,0.0003,,0.013228938400834766,,,,,23480,zah62sdt,sweet-sweep-2,baseline_full
851.50947977,1788034201.5591738,0.890218,34672.0,0.022846577689051628,36,,,,0.0003,,0.03962285706697973,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
2425.403079868,1788035775.4609492,0.693188,96892.0,0.006242184434086084,91,,,,0.0003,,0.04879755655180448,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
3379.569664961,1788036729.6352625,0.5740326666666666,134520.0,0.008893732912838459,118,,,,0.0003,,0.0658277449989116,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
5517.345272804,1788038867.4141266,0.3062466666666666,219084.0,0.002626376925036311,174,,,,0.0003,,0.03866958616312892,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
7232.36387185,1788040582.419989,0.09164800000000001,286852.0,0.003743987064808607,210,,,,0.0003,,0.05676920189878137,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
7909.800895356,1788041259.8575723,0.05,313852.0,0.002611761447042227,222,,,,0.0003,,0.04193585905140233,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
8246.37335111,1788041596.430742,0.05,327224.0,0.0031218419317156076,226,,,,0.0003,,0.04056809963326568,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
12000.238822062,1788045350.2930698,0.05,475748.0,0.0027738730423152447,278,,,,0.0003,,0.05594402533793713,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
12286.69492054,1788045636.7535224,0.05,487032.0,0.0037283734418451786,281,,,,0.0003,,0.05654135142140158,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
