episode/goal_reward,episode/actions_neutral,train/learning_rate,episode/action_all,_runtime,_timestamp,train/episode,episode/tracking_reward,episode/total_reward,train/loss,episode/actions_up,_step,train/buffer_size,train/epsilon,episode/actions_down,train/grad_norm,episode/clipped_reward,run_id,run_name,group
,,0.0003,,45.692151751,1787933094.6354594,0,,,0.33858922123908997,,3092.0,3084,0.9998044266666667,,0.43304810837065655,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,59.699529991,1787933108.6668377,2,,,0.5019441246986389,,3608.0,3596,0.9997717466666667,,0.9552632803631396,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,563.803025988,1787933612.7632806,24,,,0.19407986104488373,,23536.0,23480,0.99850964,,0.4138287355940589,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,842.528544809,1787933891.4810843,36,,,0.1346171349287033,,34672.0,30000,0.9978043600000001,,0.2683416118182558,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,1124.848988726,1787934173.8178003,48,,,0.16346436738967896,,45820.0,30000,0.99709832,,0.47720299086150303,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,1310.038434317,1787934358.9940567,57,,,0.09620031714439392,,53152.0,30000,0.99663396,,0.30742594804147594,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,1520.033855852,1787934568.9973311,65,,,0.09903168678283691,,61472.0,30000,0.9961070266666666,,0.3028291971673703,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,2411.41921845,1787935460.3633657,103,,,0.10915851593017578,,96892.0,30000,0.99386376,,0.5700145865381998,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,3359.161864353,1787936408.1249151,145,,,0.13263648748397827,,134520.0,30000,0.9914806533333334,,0.7041578375056378,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,3426.956982361,1787936475.911439,147,,,0.07346117496490479,,137224.0,30000,0.9913094,,0.40846841729905253,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,4504.613945209,1787937553.5898125,191,,,0.08889669924974442,,180336.0,30000,0.9885789733333333,,0.5146888397944986,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,4750.383934173,1787937799.3440132,203,,,0.0924326479434967,,190152.0,30000,0.9879572933333334,,0.609601905846443,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,5192.051988016,1787938241.0121703,221,,,0.08734498918056488,,207760.0,30000,0.9868421199999999,,0.6908425328925033,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,5476.630524502,1787938525.588563,235,,,0.07293736934661865,,219084.0,30000,0.9861249333333333,,0.542860427874266,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,5607.82315365,1787938656.781033,239,,,0.0910036638379097,,224348.0,30000,0.9857915466666666,,0.8331974485435869,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,6056.889168353,1787939105.848992,259,,,0.08067778497934341,,242208.0,30000,0.9846604133333334,,0.6915958639097182,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,6175.086084518,1787939224.0460067,264,,,0.08735129237174988,,246884.0,30000,0.9843642666666668,,0.5100119318452832,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,6209.909108882,1787939258.867568,266,,,0.07741592824459076,,248260.0,30000,0.98427712,,0.4766782114250344,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,6368.285508855,1787939417.253928,273,,,0.09063021093606949,,254656.0,30000,0.98387204,,0.6795300052001944,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,6780.109630458,1787939829.0823677,291,,,0.06036423519253731,,271068.0,30000,0.9828326133333334,,0.5650014697157292,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,7169.819255018,1787940218.7804646,308,,,0.0762760192155838,,286852.0,30000,0.98183296,,0.6740761601066237,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,7849.413628094,1787940898.3942761,338,,,0.050533294677734375,,313852.0,30000,0.98012296,,0.3823910938078906,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,8186.196800185,1787941235.1610084,352,,,0.10804112255573273,,327224.0,30000,0.9792760666666667,,0.6146183973846342,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,9094.527883927,1787942143.488118,390,,,0.0512600839138031,,363460.0,30000,0.97698112,,0.4059192178274931,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,9227.256487225,1787942276.2182403,396,,,0.06715729832649231,,368716.0,30000,0.9766482400000001,,0.49787545107395254,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,9884.184693557,1787942933.1442306,424,,,0.05383661389350891,,394808.0,30000,0.9749957466666667,,0.37444448883974096,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,10233.202482216,1787943282.1659484,437,,,0.09054204821586609,,408672.0,30000,0.9741176933333333,,0.6493087528576796,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,10456.636002358,1787943505.6003187,446,,,0.18485037982463837,,417520.0,30000,0.97355732,,1.3244154021179415,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,11923.930320177,1787944972.8954644,509,,,0.10481560230255127,,475748.0,30000,0.9698695466666666,,1.8882349637365456,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,12208.89123742,1787945257.8513732,520,,,0.12480602413415909,,487032.0,30000,0.9691548933333334,,1.5671925965443732,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,13079.197093397,1787946128.1747303,558,,,0.11196701228618622,,521712.0,30000,0.9669584933333334,,1.543969022759389,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,13107.625658823,1787946156.5864823,558,,,0.09079954773187637,,522848.0,30000,0.9668865466666667,,0.8743576775927137,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,13445.60898288,1787946494.5727704,572,,,0.09964156150817871,,536260.0,30000,0.9660371200000001,,2.3334522233755663,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,13471.174029261,1787946520.137904,574,,,0.07410673797130585,,537260.0,30000,0.9659737866666667,,0.575031557036233,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,13717.676995732,1787946766.6311088,583,,,0.14196521043777466,,547112.0,30000,0.9653498266666667,,0.6879004522170933,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,14404.780357096,1787947453.7400918,611,,,0.10356150567531586,,574400.0,30000,0.9636215866666666,,0.8214133881370819,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,14802.179326191,1787947851.1427057,627,,,0.08590966463088989,,590056.0,30000,0.9626300400000001,,1.7726132499595366,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,14882.433592395,1787947931.4015052,630,,,0.06908342987298965,,593228.0,30000,0.9624291466666667,,0.7502582189488368,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,15171.023777006,1787948219.995008,642,,,0.08620171248912811,,604672.0,30000,0.96170436,,0.6087763020195046,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,15224.642419878,1787948273.6057074,644,,,0.07428701967000961,,606784.0,30000,0.9615705999999999,,0.5953233413375424,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,16890.545989288,1787949939.5123117,715,,,0.3291681408882141,,673024.0,30000,0.9573754,,1.1796860558458955,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,17375.895088512,1787950424.8809724,735,,,0.12029953300952911,,692368.0,30000,0.95615028,,0.7592506176444435,,jg6p7o03,olive-sweep-2,baseline_full
,,0.0003,,17436.71812627,1787950485.6746895,737,,,0.1424001157283783,,694808.0,30000,0.9559957466666666,,0.8661914877496975,,jg6p7o03,olive-sweep-2,baseline_full
