train/epsilon,train/grad_norm,episode/goal_reward,train/learning_rate,train/loss,episode/actions_up,train/buffer_size,episode/clipped_reward,_step,train/episode,episode/tracking_reward,_runtime,_timestamp,episode/actions_down,episode/total_reward,episode/actions_neutral,episode/action_all,run_id,run_name,group
0.9998044266666667,0.1799795976989357,,0.0003,0.03883964195847511,,3082,,3092.0,1,,56.058477093,1787933109.2045062,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
0.9997717466666667,0.5004639454328204,,0.0003,0.09413480758666992,,3596,,3608.0,2,,69.686940412,1787933122.8425436,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
0.99850964,0.010236277754144657,,0.0003,0.017161067575216293,,23476,,23536.0,26,,584.858398902,1787933638.01594,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
0.9978043600000001,0.02794140906325141,,0.0003,0.03155119717121124,,30000,,34672.0,39,,868.820103192,1787933921.9790697,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
0.99709832,0.019975638444840252,,0.0003,0.049880772829055786,,30000,,45820.0,52,,1155.194515096,1787934208.3368802,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
0.99663396,0.020217670968648176,,0.0003,0.051288507878780365,,30000,,53152.0,60,,1342.857712683,1787934396.0192847,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
0.9961070266666666,0.028217546422384453,,0.0003,0.04599156975746155,,30000,,61472.0,71,,1556.882300301,1787934610.040831,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
0.99386376,0.07220479562157874,,0.0003,0.0635933205485344,,30000,,96892.0,112,,2461.990788735,1787935515.1648257,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
0.9914806533333334,0.01960386892720169,,0.0003,0.02890237234532833,,30000,,134520.0,156,,3433.982996532,1787936487.1539092,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
0.9913094,0.0404895807964553,,0.0003,0.04871963709592819,,30000,,137224.0,160,,3502.360437265,1787936555.5171103,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
0.9885789733333333,0.02630239876101075,,0.0003,0.04003853723406792,,30000,,180336.0,210,,4597.764264645,1787937650.9375105,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
0.9879572933333334,0.021232409961149643,,0.0003,0.04955729469656944,,30000,,190152.0,222,,4846.684574962,1787937899.8481374,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
0.9868421199999999,0.035593282511026905,,0.0003,0.042671822011470795,,30000,,207760.0,244,,5294.023100007,1787938347.1879034,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
0.9861249333333333,0.028719516873208183,,0.0003,0.05758608877658844,,30000,,219084.0,257,,5582.268218396,1787938635.4273925,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
0.9857915466666666,0.02797759467015688,,0.0003,0.049538083374500275,,30000,,224348.0,264,,5715.78882039,1787938768.943999,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
0.9846604133333334,0.0231769748856547,,0.0003,0.04007939249277115,,30000,,242208.0,283,,6180.494875383,1787939233.658851,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
0.9843642666666668,0.0333857323147721,,0.0003,0.04897011071443558,,30000,,246884.0,289,,6300.366266087,1787939353.5442648,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
0.98427712,0.03643661926276136,,0.0003,0.04600384831428528,,30000,,248260.0,291,,6335.585983673,1787939388.7432947,,,,,vqm4avvj,earthy-sweep-4,d5_full_hard_pred
