train/epsilon,episode/goal_reward,_runtime,episode/total_reward,_timestamp,train/episode,episode/tracking_reward,episode/actions_down,_step,episode/actions_up,episode/clipped_reward,train/buffer_size,episode/action_all,episode/actions_neutral,train/grad_norm,train/learning_rate,train/loss,run_id,run_name,group
0.9998044266666667,,48.95561718,,1787933099.5564933,1,,,3092.0,,,3082,,,0.057248515545950306,0.0003,0.017300229519605637,36c2lv5c,fast-sweep-3,d5_full_hard_noPred
0.9997717466666667,,62.645992637,,1787933113.2777822,3,,,3608.0,,,3594,,,0.0790867044694994,0.0003,0.02384050190448761,36c2lv5c,fast-sweep-3,d5_full_hard_noPred
0.99850964,,562.358124593,,1787933612.9697042,25,,,23536.0,,,23479,,,0.020205844909156848,0.0003,0.0442916676402092,36c2lv5c,fast-sweep-3,d5_full_hard_noPred
0.9978043600000001,,840.040645539,,1787933890.657534,39,,,34672.0,,,30000,,,0.04822148978345233,0.0003,0.014309033751487732,36c2lv5c,fast-sweep-3,d5_full_hard_noPred
0.99709832,,1122.113811779,,1787934172.725445,52,,,45820.0,,,30000,,,0.025171213058928367,0.0003,0.0032095792703330517,36c2lv5c,fast-sweep-3,d5_full_hard_noPred
0.99663396,,1304.991595268,,1787934355.6076455,60,,,53152.0,,,30000,,,0.015006746966995855,0.0003,0.0019173878245055676,36c2lv5c,fast-sweep-3,d5_full_hard_noPred
0.9961070266666666,,1514.367178804,,1787934564.9980829,70,,,61472.0,,,30000,,,0.021581612993340257,0.0003,0.0012657179031521082,36c2lv5c,fast-sweep-3,d5_full_hard_noPred
0.99386376,,2396.432910198,,1787935447.042871,113,,,96892.0,,,30000,,,0.020578803080586103,0.0003,0.0006380538106895983,36c2lv5c,fast-sweep-3,d5_full_hard_noPred
0.9914806533333334,,3338.254324458,,1787936388.8862493,157,,,134520.0,,,30000,,,0.05699451791085446,0.0003,0.0030766348354518414,36c2lv5c,fast-sweep-3,d5_full_hard_noPred
0.9913094,,3405.540329067,,1787936456.1723442,160,,,137224.0,,,30000,,,0.06193922096419903,0.0003,0.0026885471306741238,36c2lv5c,fast-sweep-3,d5_full_hard_noPred
0.9885789733333333,,4474.784603427,,1787937525.3998933,211,,,180336.0,,,30000,,,0.04652781628678219,0.0003,0.0018559563905000687,36c2lv5c,fast-sweep-3,d5_full_hard_noPred
0.9879572933333334,,4719.669606836,,1787937770.297342,223,,,190152.0,,,30000,,,0.022158832065151096,0.0003,0.001232270966283977,36c2lv5c,fast-sweep-3,d5_full_hard_noPred
0.9868421199999999,,5158.037537954,,1787938208.6435466,244,,,207760.0,,,30000,,,0.0445815855865572,0.0003,0.00451636640354991,36c2lv5c,fast-sweep-3,d5_full_hard_noPred
0.9861249333333333,,5439.80665185,,1787938490.4138455,256,,,219084.0,,,30000,,,0.05880054620311408,0.0003,0.0033030989579856396,36c2lv5c,fast-sweep-3,d5_full_hard_noPred
0.9857915466666666,,5569.544944689,,1787938620.1908257,263,,,224348.0,,,30000,,,0.04231541728516075,0.0003,0.003086207201704383,36c2lv5c,fast-sweep-3,d5_full_hard_noPred
